text,label
DOCTYPE,ENTITY
PUBLIC,ENTITY
"Owner=""NLM""><PMID",ENTITY
"PubModel=""Print-Electronic""><Journal><ISSN",ENTITY
"CitedMedium=""Print""><PubDate><Year>2026</Year><Month",ENTITY
NPJ,ENTITY
breast cancer</Title><ISOAbbreviation,ENTITY
NPJ,ENTITY
Breast Cancer</ISOAbbreviation></Journal><ArticleTitle,ENTITY
Functional assays,ENTITY
BRCA1,ENTITY
BRCA2,ENTITY
variant,ENTITY
analysis,ENTITY
tools,ENTITY
"EIdType=""doi",ENTITY
"ValidYN=""Y"">10.1038/s41523",ENTITY
Genetic variants,ENTITY
BRCA1,ENTITY
BRCA2,ENTITY
function,ENTITY
hereditary breast,ENTITY
ovarian cancers,ENTITY
BRCA1,ENTITY
BRCA2,ENTITY
homologous recombination-mediated DNA repair,ENTITY
interpretation,ENTITY
variants,ENTITY
uncertain,ENTITY
significance,ENTITY
assays,ENTITY
BRCA1,ENTITY
BRCA2,ENTITY
variants,ENTITY
strengths,ENTITY
limitations,ENTITY
approach,ENTITY
variant,ENTITY
classification,ENTITY
clinical,ENTITY
"CompleteYN=""Y""><Author",ENTITY
Muthiah</ForeName><Initials,ENTITY
Rigshospitalet,ENTITY
Copenhagen University Hospital,ENTITY
Copenhagen,ENTITY
Elangoli Ebrahimkutty</ForeName><Initials,ENTITY
EE</Initials><AffiliationInfo><Affiliation,ENTITY
Biotech Research,ENTITY
Innovation Center,ENTITY
BRIC,ENTITY
Faculty of Health,ENTITY
University of Copenhagen,ENTITY
Copenhagen,ENTITY
Maria</ForeName><Initials,ENTITY
Rigshospitalet,ENTITY
Copenhagen University Hospital,ENTITY
Copenhagen,ENTITY
Denmark,ENTITY
Department,ENTITY
Faculty of Health,ENTITY
University of Copenhagen,ENTITY
Copenhagen,ENTITY
Denmark,ENTITY
Claus,ENTITY
CS</Initials><AffiliationInfo><Affiliation,ENTITY
Biotech,ENTITY
Research,ENTITY
Innovation Center,ENTITY
BRIC,ENTITY
Faculty of Health,ENTITY
University of Copenhagen,ENTITY
Copenhagen,ENTITY
Denmark,ENTITY
claus.storgaard@bric.ku.dk.</Affiliation></AffiliationInfo></Author></AuthorList><Language,ENTITY
Review</PublicationType></PublicationTypeList><ArticleDate,ENTITY
"DateType=""Electronic""><Year>2026</Year><Month>04</Month><Day>15</Day></ArticleDate></Article><MedlineJournalInfo><Country",ENTITY
United States</Country><MedlineTA>,ENTITY
NPJ,ENTITY
Breast Cancer</MedlineTA><NlmUniqueID>101674891</NlmUniqueID><ISSNLinking>2374-4677</ISSNLinking></MedlineJournalInfo><CoiStatement>,ENTITY
interests,ENTITY
EP20211801,ENTITY
CRISPR-Select,ENTITY
University of Copenhagen,ENTITY
inventors,ENTITY
